filament_xyz,0.001,0.01,0.1,0.5
Difference,0.7684231138578171,0.8430362298421824,0.9547799131026747,1.1176739445819417
filament_yz,0.001,0.01,0.1,0.5
Difference,0.7963621340794044,0.8493218067113095,0.9435122939991717,1.123671764134583
filament_z,0.001,0.01,0.1,0.5
Difference,0.8202787911605703,0.8696451425167193,0.9708003340289588,1.1101527530432416
pancake,0.001,0.01,0.1,0.5
Difference,0.7199594465745851,0.7227920594505712,0.783140361883244,0.9458819481786848
pancake_initial_tilted,0.001,0.01,0.1,0.5
Difference,0.7770394915794374,0.827132183608163,0.9010155122056225,1.0720592835788614
uniform,0.001,0.01,0.1,0.5
Difference,0.7057202095769903,0.7130467319829685,0.7256282381738782,0.8314567041400932
